"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AHC","A.H. Belo Corporation","6.1","132561942.6","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"ABT","Abbott Laboratories","43.48","75133335474.08","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABM","ABM Industries Incorporated","43.39","2415766062.99","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"AYI","Acuity Brands Inc","176.08","7763804934.88","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"AAP","Advance Auto Parts Inc","140.53","10373752731.81","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"AAV","Advantage Oil & Gas Ltd","6.25","1156829762.5","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"AEB","Aegon NV","25.04","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"HIVE","Aerohive Networks, Inc.","3.83","202111294.59","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/hive",
"AFSD","Aflac Incorporated","25.56","0","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afsd",
"AEM","Agnico Eagle Mines Limited","46.72","10791688766.08","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aem",
"AKS","AK Steel Holding Corporation","6.23","1961112680.66","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/aks",
"ALB","Albemarle Corporation","109.39","12313629307.24","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/alb",
"ARE","Alexandria Real Estate Equities, Inc.","112.82","10274900649.54","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/are",
"ALLE","Allegion plc","77.7","7403790109.8","n/a","2013","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/alle",
"AFB","Alliance National Municipal Income Fund Inc","13.56","389781332.16","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/afb",
"NCZ","AllianzGI Convertible & Income Fund II","6.14","457484603.02","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/ncz",
"ALL","Allstate Corporation (The)","81.5","29764091933","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/all",
"ALL^F","Allstate Corporation (The)","27.62","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/all^f",
"AWP","Alpine Global Premier Properties Fund","6.09","520134421.59","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/awp",
"AMBR","Amber Road, Inc.","8.48","229246428.96","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ambr",
"AMOV","America Movil, S.A.B. de C.V.","15.1601","49875212990","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AEP","American Electric Power Company, Inc.","67.47","33175813430.37","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aep",
"AFGH","American Financial Group, Inc.","26.15","0","n/a","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afgh",
"AMH^D","American Homes 4 Rent","25.79","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amh^d",
"ARL","American Realty Investors, Inc.","7.668","118964112.48","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/arl",
"AVD","American Vanguard Corporation","16.6","480811895.2","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/avd",
"AMN","AMN Healthcare Services Inc","41.4","1981302611.4","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/amn",
"AFSI^A","AmTrust Financial Services, Inc.","21.9","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi^a",
"AFSS","AmTrust Financial Services, Inc.","25.04","0","n/a","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afss",
"AXE","Anixter International Inc.","82","2724566932","n/a","n/a","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/axe",
"AM","Antero Midstream Partners LP","34.38","6387593731.92","n/a","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/am",
"ANH^B","Anworth Mortgage Asset  Corporation","28.8491","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anh^b",
"ARI","Apollo Commercial Real Estate Finance","19.31","1769206800.94","n/a","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ari",
"AIY","Apollo Investment Corporation","25.92","0","n/a","2013","n/a","n/a","http://www.nasdaq.com/symbol/aiy",
"WTR","Aqua America, Inc.","32.94","5849083628.46","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/wtr",
"ABR^C","Arbor Realty Trust","26.26","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abr^c",
"ARCH","Arch Coal, Inc.","70","1750127330","n/a","2016","Energy","Coal Mining","http://www.nasdaq.com/symbol/arch",
"ARD","Ardagh Group S.A.","21.84","5108288640","n/a","2017","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/ard",
"ARES","Ares Management L.P.","19.6","4147177680.8","n/a","2014","Finance","Investment Managers","http://www.nasdaq.com/symbol/ares",
"AIW","Arlington Asset Investment Corp","24.4","0","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/aiw",
"AWI","Armstrong World Industries Inc","47.1","2535858442.2","n/a","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/awi",
"AHP","Ashford Hospitality Prime, Inc.","10.75","341602782.25","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ahp",
"AHT^G","Ashford Hospitality Trust Inc","24.75","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aht^g",
"AHL^B","Aspen Insurance Holdings Limited","25.45","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ahl^b",
"AC","Associated Capital Group, Inc.","33.85","820868525.3","n/a","2015","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ac",
"AF","Astoria Financial Corporation","20.42","2077350573.08","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/af",
"ATH","Athene Holding Ltd.","53.65","11388719313.9","n/a","2016","Finance","Life Insurance","http://www.nasdaq.com/symbol/ath",
"ATHM","Autohome Inc.","34.52","3980060172.48","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/athm",
"ACP","Avenue Income Credit Strategies Fund","14.3","186959229.6","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/acp",
"AVX","AVX Corporation","16.86","2828569997.4","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/avx",
"AZUL","Azul S.A.","23.36","7233541243.84","n/a","2017","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/azul",
"BMI","Badger Meter, Inc.","39.5","1150004264","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bmi",
"BANC^C","Banc of California, Inc.","26.9","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/banc^c",
"BCH","Banco De Chile","73.63","11980134449.35","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bch",
"SAN^B","Banco Santander, S.A.","24.66","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^b",
"BAC.WS.A","Bank of America Corporation","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bac.ws.a",
"BAC^I","Bank of America Corporation","25.79","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bac^i",
"BML^I","Bank of America Corporation","25.85","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bml^i",
"BK","Bank Of New York Mellon Corporation (The)","47.18","49061397803.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bk",
"BCS^D","Barclays PLC","26.15","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcs^d",
"CUDA","Barracuda Networks, Inc.","20.47","1080332723.77","n/a","2013","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/cuda",
"BBT^D","BB&T Corporation","25.58","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bbt^d",
"BCE","BCE, Inc.","44.9","40386223384.6","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/bce",
"BEL","Belmond Ltd.","12.35","1257291243.65","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/bel",
"BERY","Berry Global Group, Inc.","50.15","6459320000","n/a","2012","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/bery",
"BH","Biglari Holdings Inc.","433.06","895400485.78","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bh",
"BITA","Bitauto Holdings Limited","29.49","2085710477.25","n/a","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/bita",
"BJZ","Blackrock California Municipal 2018 Term Trust","15.18","97653365.04","n/a","2001","n/a","n/a","http://www.nasdaq.com/symbol/bjz",
"DSU","Blackrock Debt Strategies Fund, Inc.","11.7","728961538.5","n/a","1998","n/a","n/a","http://www.nasdaq.com/symbol/dsu",
"BFO","Blackrock Florida Municipal 2020 Term Trust","15.09","83932511.52","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/bfo",
"BGY","BLACKROCK INTERNATIONAL, LTD.","6.08","668734804.16","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/bgy",
"MUA","Blackrock MuniAssets Fund, Inc.","14.84","532656082.28","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/mua",
"BFK","BlackRock Municipal Income Trust","14.12","632646487.04","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bfk",
"MFL","Blackrock MuniHoldings Investment Quality Fund","14.61","552566475.54","n/a","1997","n/a","n/a","http://www.nasdaq.com/symbol/mfl",
"MYC","Blackrock MuniYield California Fund, Inc.","15.04","321975327.36","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/myc",
"MYJ","Blackrock MuniYield New Jersey Fund, Inc.","15.7093","225262957.5245","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/myj",
"BNJ","BlackRock New Jersey Municipal Income Trust","15.37","117857390.55","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bnj",
"BST","BlackRock Science and Technology Trust","21.9362","493731039.6304","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/bst",
"BSL","Blackstone GSO Senior Floating Rate Term Fund","18.31","278773009.18","n/a","2010","n/a","n/a","http://www.nasdaq.com/symbol/bsl",
"BCEI","Bonanza Creek Energy, Inc.","39.2","0","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bcei",
"BXP^B","Boston Properties, Inc.","25.37","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bxp^b",
"BRC","Brady Corporation","39.5","2020591176.5","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/brc",
"BGG","Briggs & Stratton Corporation","24.97","1068883423.85","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bgg",
"BRX","Brixmor Property Group Inc.","20.03","6107010535.61","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brx",
"DTLA^","Brookfield DTLA Inc.","25.18","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dtla^",
"BRO","Brown & Brown, Inc.","43.03","6035990220","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/bro",
"BPL","Buckeye Partners L.P.","68.94","9687473963.1","n/a","1986","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bpl",
"BWXT","BWX Technologies, Inc.","49.42","4930402905.12","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bwxt",
"CABO","Cable One, Inc.","682.24","3905488337.92","n/a","2015","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cabo",
"CAI","CAI International, Inc.","21.31","408996159.97","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/cai",
"CALX","Calix, Inc","6.7","332483372.8","n/a","2010","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/calx",
"CPT","Camden Property Trust","82.38","7462884932.4","n/a","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cpt",
